지역,이름,주소,위도,경도
고양시,오말리(O'malley),"경기도 고양시 일산동구 정발산로 47, 301호 (장항동, 웅신아트)",37.6576849,126.7737127
고양시,숙희,"경기도 고양시 일산동구 중앙로1261번길 17, 301호 (장항동)",37.65801631,126.7728001
고양시,라이크라이크,"경기도 고양시 일산동구 무궁화로 8-19, 101,102(일부)호 (장항동, 삼라마이다스빌 )",37.66100766,126.7668073
고양시,밤새맥주 백석점,"경기도 고양시 일산동구 강송로73번길 53-18 (백석동, 1층일부)",37.64424139,126.7886222
고양시,쿠든비베러(Couldn't Be Better),"경기도 고양시 일산서구 강성로214번길 7-7, 1층 일부호 (대화동)",37.6751032,126.7528476
고양시,꽉찬김밥,"경기도 고양시 일산동구 정발산로196번길 8-18, 1층 일부호 (마두동)",37.66254621,126.7859266
고양시,한우결,"경기도 고양시 일산동구 정발산로 31-9, 201~204호 (장항동, 레이크프라자2 )",37.65716262,126.7717541
고양시,티아라,"경기도 고양시 일산동구 무궁화로93번길 6-18, 1층 (정발산동)",37.66708182,126.7739703
고양시,프로메사(나우),"경기도 고양시 덕양구 행신로 276, 명일프라자 102,103호 (행신동)",37.6195293,126.8450727
고양시,Live STUDIO(라이브 스튜디오),"경기도 고양시 일산서구 덕이로 186, 2층일부호 (덕이동)",37.69459584,126.7405359
고양시,하모니,"경기도 고양시 일산동구 호수로430번길 7-7 (백석동,번지 (지하1층 일부))",37.64353523,126.7791982
고양시,육원당,"경기도 고양시 덕양구 호국로 859, 가동 109(일부), 110호 (성사동, 원당e-편한세상 상가 )",37.66205462,126.8403228
고양시,쏘울,"경기도 고양시 일산동구 장백로 13 (백석동,외3필지 성우아뜨리움오피스텔 101호)",37.63983099,126.7898788
고양시,허밍,"경기도 고양시 덕양구 서정마을2로7번길 21, 1층 (행신동)",37.6221887,126.8466787
고양시,벤야민(Benjamin),"경기도 고양시 일산서구 호수로 844 (대화동, 푸조빌딩 110호)",37.67027063,126.7491974
고양시,카리오몬,"경기도 고양시 일산서구 호수로856번길 73-10 (대화동,(1층 전체))",37.67391361,126.7494555
고양시,포트캔커피 일산백석점,"경기도 고양시 일산동구 일산로 74-17 (백석동, 대방샤인벨리 107호)",37.64419229,126.7909464
고양시,데미타스,"경기도 고양시 일산동구 정발산로 24 (장항동,웨스턴돔1 A-229,230호)",37.65589309,126.7719706
고양시,겨울연가,경기도 고양시 덕양구 마상로114번길 28 (주교동),37.6594905,126.834735
고양시,후곡슈퍼,"경기도 고양시 일산서구 일산로 548, 105호 (일산동, 덕흥프라자)",37.67821806,126.7674772
고양시,희선의음악여행,"경기도 고양시 일산동구 애니골길 20, 3(전체)층 (풍동)",37.66949205,126.7905421
고양시,MESA(메사),"경기도 고양시 일산서구 후곡로 32, 102호 (일산동, 후곡마을 상가동)",37.67977001,126.765823
고양시,엠제이,"경기도 고양시 일산동구 중앙로 1228, 1층 일부호 (마두동)",37.65598192,126.776153
고양시,퍼블릭멘션,"경기도 고양시 일산서구 호수로856번길 16-2, 1층 (대화동)",37.6711305,126.7483496
고양시,헤이루다,"경기도 고양시 일산서구 대산로223번길 8-2, 지하1층 일부호 (대화동)",37.678564,126.7536499
고양시,부치미,"경기도 고양시 일산동구 산두로213번길 49 (정발산동, 1층 일부)",37.6732911,126.7791849
고양시,초원양꼬치,"경기도 고양시 일산서구 일현로 28 (탄현동, 태창빌딩 1층일부)",37.68971263,126.7621355
고양시,산책,"경기도 고양시 일산동구 무궁화로181번길 16-9, 1층 전체호 (정발산동)",37.6717083,126.7807425
고양시,다와,,37.62160861,126.8191048
고양시,샤론의꽃,"경기도 고양시 일산동구 장백로 13, 102호 (백석동,외3필지 성우아뜨리움오피스텔)",37.6398309,126.7898787
고양시,아이엠(I'm),"경기도 고양시 일산서구 일산로 511, B102호 (일산동, 태성상가)",37.6760405,126.7706297
고양시,본장충동왕족발,경기도 고양시 일산동구 백석로85번길 5-5 (백석동),37.64783513,126.7867062
고양시,주교까페,"경기도 고양시 덕양구 원당로33번길 6 (주교동,지하)",37.65672571,126.8319466
고양시,투데이,"경기도 고양시 일산동구 율천로7번길 7-19, 지하1(전체)층 (정발산동)",37.66720934,126.7830285
고양시,아지트,"경기도 고양시 덕양구 서정마을로 5 (행신동, 행신프라자 101호)",37.61836793,126.8469412
고양시,NA:B(나비),"경기도 고양시 일산동구 산두로213번길 42, 1층 전체호 (정발산동)",37.67375651,126.7791781
고양시,커피팩토리 일산,"경기도 고양시 일산서구 하이파크3로 19 (덕이동, 가동 1층일부)",37.69315528,126.753481
고양시,그랜드카페,"경기도 고양시 일산서구 경의로 886, B동 3층일부호 (덕이동)",37.69560418,126.7602055
고양시,놀부까페,"경기도 고양시 일산서구 일청로 4 (일산동, 3층일부)",37.68472236,126.7698629
고양시,행운,"경기도 고양시 일산서구 고양대로685번길 31 (일산동,외1필지 (1층일부))",37.6853513,126.7725733
고양시,카페행신,"경기도 고양시 덕양구 무원로36번길 16 (행신동,.1층)",37.6157463,126.8332932
고양시,고로(GORO),"경기도 고양시 일산동구 강석로 33, 113호 (백석동,외1필지 백석동 대우IAAN)",37.6458862,126.7853518
고양시,미엘,"경기도 고양시 일산동구 중앙로1261번길 77, 104호 (장항동, 한신매트로폴리스)",37.65712754,126.7697368
고양시,카페도하(Cafe doHA),"경기도 고양시 일산동구 중앙로 1305-56 (장항동,외3필지 일산 라페스타D 115호)",37.66102604,126.7683151
고양시,애시드(Acid),"경기도 고양시 일산동구 무궁화로 31-13, 202호 (장항동, 로데오휠 )",37.6630646,126.7671159
고양시,코지커피(Cozy Coffee),"경기도 고양시 일산동구 호수로446번길 8-15, 1층 일부호 (백석동)",37.64397582,126.7790239
고양시,동행,"경기도 고양시 덕양구 토당로 80 (토당동, 1층일부)",37.6223013,126.8185415
고양시,루틴커피,"경기도 고양시 일산동구 백석로108번길 7-1, 1층 일부호 (백석동)",37.64889723,126.7894507
고양시,레드,"경기도 고양시 일산서구 일현로 36 (탄현동,호선파크빌 2층일부(202호))",37.69035551,126.7626055
고양시,호커피,"경기도 고양시 일산동구 율천로7번길 7-3, 1(전체)층 (정발산동)",37.66656414,126.783647
고양시,커피니 삼성화재일산점,"경기도 고양시 일산동구 중앙로 1161 (장항동,1층 일부)",37.65053188,126.7781104
고양시,미경카페,"경기도 고양시 일산서구 원일로 100, 1층일부호 (일산동)",37.68550833,126.7730762
고양시,파스토랄,"경기도 고양시 덕양구 행주로17번길 59-12, 1,2층 (행주내동)",37.60147185,126.825127
고양시,카사블랑카,"경기도 고양시 덕양구 보광로 262, 1층 (벽제동)",37.73767375,126.9133099
고양시,아티산커피스튜디오&캘리포니아도넛클럽 덕이점,"경기도 고양시 일산서구 경의로 845, 1층 전체호 (덕이동)",37.69301129,126.7592331
고양시,카페에이프릴(CAFE APRIL),"경기도 고양시 일산동구 산두로 237-1, 1층 일부호 (정발산동)",37.67632727,126.7780306
고양시,데스파라도,"경기도 고양시 일산동구 장백로 19, 111호 (백석동, 일산백석더루벤스카운티)",37.64017992,126.789205
고양시,고센,"경기도 고양시 일산동구 무궁화로141번길 7-6, 1층 (일부)호 (정발산동)",37.66975547,126.7763707
고양시,포텐(POTEN),"경기도 고양시 일산동구 무궁화로93번길 6-6, 1층 전체호 (정발산동)",37.66664656,126.7735436
고양시,엔젤까페,"경기도 고양시 일산서구 고양대로 665 (일산동,(지하1층))",37.68476819,126.7699872
고양시,동남,"경기도 고양시 일산서구 일청로 16 (일산동,외2필지 (2층))",37.6856265,126.7704865
고양시,엔와이카페(NYcafe),"경기도 고양시 일산서구 호수로 817 (대화동,레이킨스몰 501호,502호)",37.66797867,126.7516243
고양시,락 아일랜드(ROCK ISLAND),"경기도 고양시 일산동구 위시티1로 7 (식사동, 위시티블루밍5단지 상가1 103호)",37.6754293,126.8115976
고양시,황제쎄시봉,"경기도 고양시 일산동구 고봉로 32-6, 301호 (장항동, 엔트리원프라자)",37.66456041,126.7656046
고양시,라이브하우스,"경기도 고양시 덕양구 화중로 128 (화정동,B01호)",37.63841278,126.8319048
고양시,커피발전소,"경기도 고양시 일산서구 덕이로 20 (덕이동,덕이동양우씨네플렉스 가동 D-101,D-108호)",37.68986191,126.7572002
